"month","operator","bucket_order","wait_bucket","trips_with_wait"
"2026-03-01","Lyft",10,"10-15 мин",291404
"2026-03-01","Uber",10,"10-15 мин",1429219
"2026-03-01","Lyft",11,"15-20 мин",58623
"2026-03-01","Uber",11,"15-20 мин",397150
"2026-03-01","Lyft",12,"20-25 мин",14168
"2026-03-01","Uber",12,"20-25 мин",69296
"2026-03-01","Lyft",13,"25-30 мин",3876
"2026-03-01","Uber",13,"25-30 мин",15151
"2026-03-01","Lyft",14,"30+ мин",3153
"2026-03-01","Uber",14,"30+ мин",12272
"2026-04-01","Lyft",1,"0-30 сек",2114
"2026-04-01","Uber",1,"0-30 сек",17141
"2026-04-01","Lyft",2,"30-60 сек",37201
"2026-04-01","Uber",2,"30-60 сек",203911
"2026-04-01","Lyft",3,"1-2 мин",569106
"2026-04-01","Uber",3,"1-2 мин",1486531
"2026-04-01","Lyft",4,"2-3 мин",1083891
"2026-04-01","Uber",4,"2-3 мин",2816283
"2026-04-01","Lyft",5,"3-4 мин",1188533
"2026-04-01","Uber",5,"3-4 мин",2779695
"2026-04-01","Lyft",6,"4-5 мин",935441
"2026-04-01","Uber",6,"4-5 мин",2037534
"2026-04-01","Lyft",7,"5-6 мин",622985
"2026-04-01","Uber",7,"5-6 мин",1477973
"2026-04-01","Lyft",8,"6-8 мин",616657
"2026-04-01","Uber",8,"6-8 мин",1825032
"2026-04-01","Lyft",9,"8-10 мин",237368
"2026-04-01","Uber",9,"8-10 мин",1052018
"2026-04-01","Lyft",10,"10-15 мин",164341
"2026-04-01","Uber",10,"10-15 мин",1126126
"2026-04-01","Lyft",11,"15-20 мин",29722
"2026-04-01","Uber",11,"15-20 мин",292120
"2026-04-01","Lyft",12,"20-25 мин",7432
"2026-04-01","Uber",12,"20-25 мин",59865
"2026-04-01","Lyft",13,"25-30 мин",2547
"2026-04-01","Uber",13,"25-30 мин",14522
"2026-04-01","Lyft",14,"30+ мин",1785
"2026-04-01","Uber",14,"30+ мин",10459
